breakdown-code,not-allocatable,level,additional-only,sort-key,date-revised,status,classification_symbol,class_title,link-file,definition-exists
false,true,5,false,A01B,2018-08-01,published,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY;PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",cpc-scheme-A01B.xml,true
false,true,5,false,A01C,2022-01-01,published,A01C,PLANTING;SOWING;FERTILISING ,cpc-scheme-A01C.xml,true
false,true,5,false,A01D,2020-08-01,published,A01D,HARVESTING;MOWING,cpc-scheme-A01D.xml,true
false,true,5,false,A01F,2020-05-01,published,A01F,PROCESSING OF HARVESTED PRODUCE;HAY OR STRAW PRESSES;DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,cpc-scheme-A01F.xml,true
false,true,5,false,A01G,2019-02-01,published,A01G,"HORTICULTURE;CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED;FORESTRY;WATERING ",cpc-scheme-A01G.xml,true
false,true,5,false,A01H,2021-01-01,published,A01H,NEW PLANTS OR ; PROCESSES FOR OBTAINING THEM;PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES,cpc-scheme-A01H.xml,true
false,true,5,false,A01J,2020-01-01,published,A01J,MANUFACTURE OF DAIRY PRODUCTS ,cpc-scheme-A01J.xml,true
false,true,5,false,A01K,2024-01-01,published,A01K,"ANIMAL HUSBANDRY;AVICULTURE;APICULTURE;PISCICULTURE;FISHING;REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR;NEW BREEDS OF ANIMALS",cpc-scheme-A01K.xml,true
false,true,5,false,A01L,2020-01-01,published,A01L,SHOEING OF ANIMALS,cpc-scheme-A01L.xml,true
false,true,5,false,A01M,2022-01-01,published,A01M,"CATCHING, TRAPPING OR SCARING OF ANIMALS ;APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS",cpc-scheme-A01M.xml,true
false,true,5,false,A01N,2023-02-01,published,A01N,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF ;BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES ;PEST REPELLANTS OR ATTRACTANTS;PLANT GROWTH REGULATORS",cpc-scheme-A01N.xml,true
false,true,5,false,A01P,2021-08-01,published,A01P,"BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS",cpc-scheme-A01P.xml,true
false,true,5,false,A21B,2024-01-01,published,A21B,BAKERS' OVENS;MACHINES OR EQUIPMENT FOR BAKING ,cpc-scheme-A21B.xml,true
false,true,5,false,A21C,2023-01-01,published,A21C,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS;HANDLING BAKED ARTICLES MADE FROM DOUGH,cpc-scheme-A21C.xml,true
false,true,5,false,A21D,2013-01-01,published,A21D,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS;BAKING;BAKERY PRODUCTS;PRESERVATION THEREOF",cpc-scheme-A21D.xml,true
false,true,5,false,A22B,2018-08-01,published,A22B,SLAUGHTERING,cpc-scheme-A22B.xml,false
false,true,5,false,A22C,2018-08-01,published,A22C,"PROCESSING MEAT, POULTRY, OR FISH ",cpc-scheme-A22C.xml,true
false,true,5,false,A23B,2021-05-01,published,A23B,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS;CHEMICAL RIPENING OF FRUIT OR VEGETABLES;THE PRESERVED, RIPENED, OR CANNED PRODUCTS",cpc-scheme-A23B.xml,true
false,true,5,false,A23C,2022-01-01,published,A23C,"DAIRY PRODUCTS, e.g. MILK, BUTTER OR CHEESE;MILK OR CHEESE SUBSTITUTES;MAKING THEREOF ",cpc-scheme-A23C.xml,true
false,true,5,false,A23D,2020-05-01,published,A23D,"EDIBLE OILS OR FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS ",cpc-scheme-A23D.xml,true
false,true,5,false,A23F,2021-05-01,published,A23F,"COFFEE;TEA;THEIR SUBSTITUTES;MANUFACTURE, PREPARATION, OR INFUSION THEREOF",cpc-scheme-A23F.xml,true
false,true,5,false,A23G,2021-01-01,published,A23G,"COCOA;COCOA PRODUCTS, e.g. CHOCOLATE;SUBSTITUTES FOR COCOA OR COCOA PRODUCTS;CONFECTIONERY;CHEWING GUM;ICE-CREAM;PREPARATION THEREOF",cpc-scheme-A23G.xml,true
false,true,5,false,A23J,2021-05-01,published,A23J,PROTEIN COMPOSITIONS FOR FOODSTUFFS;WORKING-UP PROTEINS FOR FOODSTUFFS;PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS,cpc-scheme-A23J.xml,true
false,true,5,false,A23K,2016-05-01,published,A23K,FODDER,cpc-scheme-A23K.xml,true
false,true,5,false,A23L,2022-01-01,published,A23L,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES ; OR ;-;THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT ;PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL",cpc-scheme-A23L.xml,true
false,true,5,false,A23N,2018-08-01,published,A23N,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR;PEELING VEGETABLES OR FRUIT IN BULK;APPARATUS FOR PREPARING ANIMAL FEEDING- STUFFS ",cpc-scheme-A23N.xml,true
false,true,5,false,A23P,2018-08-01,published,A23P,"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS",cpc-scheme-A23P.xml,true
false,true,5,false,A23V,2023-08-01,published,A23V,"INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES AND LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION",cpc-scheme-A23V.xml,true
false,true,5,false,A24B,2018-08-01,published,A24B,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING;TOBACCO;SNUFF,cpc-scheme-A24B.xml,true
false,true,5,false,A24C,2018-08-01,published,A24C,MACHINES FOR MAKING CIGARS OR CIGARETTES,cpc-scheme-A24C.xml,true
false,true,5,false,A24D,2018-08-01,published,A24D,CIGARS;CIGARETTES;TOBACCO SMOKE FILTERS;MOUTHPIECES FOR CIGARS OR CIGARETTES;MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES,cpc-scheme-A24D.xml,true
false,true,5,false,A24F,2020-01-01,published,A24F,SMOKERS' REQUISITES;MATCH BOXES;SIMULATED SMOKING DEVICES ,cpc-scheme-A24F.xml,true
false,true,5,false,A41B,2023-02-01,published,A41B,SHIRTS;UNDERWEAR;BABY LINEN;HANDKERCHIEFS,cpc-scheme-A41B.xml,true
false,true,5,false,A41C,2023-02-01,published,A41C,CORSETS;BRASSIERES,cpc-scheme-A41C.xml,true
false,true,5,false,A41D,2023-02-01,published,A41D,OUTERWEAR;PROTECTIVE GARMENTS;ACCESSORIES,cpc-scheme-A41D.xml,true
false,true,5,false,A41F,2023-02-01,published,A41F,GARMENT FASTENINGS;SUSPENDERS,cpc-scheme-A41F.xml,true
false,true,5,false,A41G,2023-02-01,published,A41G,ARTIFICIAL FLOWERS;WIGS;MASKS;FEATHERS,cpc-scheme-A41G.xml,false
false,true,5,false,A41H,2023-02-01,published,A41H,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING OR FOR TAILORING, NOT OTHERWISE PROVIDED FOR",cpc-scheme-A41H.xml,true
false,true,5,false,A42B,2021-01-01,published,A42B,HATS;HEAD COVERINGS ,cpc-scheme-A42B.xml,true
false,true,5,false,A42C,2021-01-01,published,A42C,"MANUFACTURING OR TRIMMING HEAD COVERINGS, e.g. HATS",cpc-scheme-A42C.xml,true
false,true,5,false,A43B,2022-01-01,published,A43B,CHARACTERISTIC FEATURES OF FOOTWEAR;PARTS OF FOOTWEAR,cpc-scheme-A43B.xml,true
false,true,5,false,A43C,2018-08-01,published,A43C,FASTENINGS OR ATTACHMENTS OF FOOTWEAR;LACES IN GENERAL,cpc-scheme-A43C.xml,true
false,true,5,false,A43D,2018-08-01,published,A43D,"MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR",cpc-scheme-A43D.xml,true
false,true,5,false,A44B,2018-08-01,published,A44B,"BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE ",cpc-scheme-A44B.xml,true
false,true,5,false,A44C,2021-01-01,published,A44C,"PERSONAL ADORNMENTS, e.g. JEWELLERY;COINS",cpc-scheme-A44C.xml,true
false,true,5,false,A44D,2013-01-01,published,A44D,"INDEXING SCHEME RELATING TO BUTTONS, PINS, BUCKLES OR SLIDE FASTENERS, AND TO JEWELLERY, BRACELETS OR OTHER PERSONAL ADORNMENTS",cpc-scheme-A44D.xml,false
false,true,5,false,A45B,2020-05-01,published,A45B,WALKING STICKS ;UMBRELLAS;LADIES' OR LIKE FANS ,cpc-scheme-A45B.xml,true
false,true,5,false,A45C,2020-05-01,published,A45C,PURSES;LUGGAGE;HAND CARRIED BAGS,cpc-scheme-A45C.xml,true
false,true,5,false,A45D,2023-02-01,published,A45D,"HAIRDRESSING OR SHAVING EQUIPMENT ;EQUIPMENT FOR COSMETICS OR COSMETIC TREATMENTS, e.g. FOR MANICURING OR PEDICURING",cpc-scheme-A45D.xml,true
false,true,5,false,A45F,2017-08-01,published,A45F,TRAVELLING OR CAMP EQUIPMENT: SACKS OR PACKS CARRIED ON THE BODY,cpc-scheme-A45F.xml,true
false,true,5,false,A46B,2018-08-01,published,A46B,BRUSHES ,cpc-scheme-A46B.xml,true
false,true,5,false,A46D,2018-08-01,published,A46D,MANUFACTURE OF BRUSHES,cpc-scheme-A46D.xml,true
false,true,5,false,A47B,2018-08-01,published,A47B,TABLES;DESKS;OFFICE FURNITURE;CABINETS;DRAWERS;GENERAL DETAILS OF FURNITURE ,cpc-scheme-A47B.xml,true
false,true,5,false,A47C,2018-08-01,published,A47C,CHAIRS ;SOFAS;BEDS ,cpc-scheme-A47C.xml,true
false,true,5,false,A47D,2024-01-01,published,A47D,FURNITURE SPECIALLY ADAPTED FOR CHILDREN ,cpc-scheme-A47D.xml,true
false,true,5,false,A47F,2018-08-01,published,A47F,"SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS OR THE LIKE;PAYING COUNTERS",cpc-scheme-A47F.xml,true
false,true,5,false,A47G,2018-08-01,published,A47G,HOUSEHOLD OR TABLE EQUIPMENT ,cpc-scheme-A47G.xml,true
false,true,5,false,A47H,2018-08-01,published,A47H,FURNISHINGS FOR WINDOWS OR DOORS ,cpc-scheme-A47H.xml,true
false,true,5,false,A47J,2018-08-01,published,A47J,KITCHEN EQUIPMENT;COFFEE MILLS;SPICE MILLS;APPARATUS FOR MAKING BEVERAGES,cpc-scheme-A47J.xml,true
false,true,5,false,A47K,2018-08-01,published,A47K,SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR ;TOILET ACCESSORIES ,cpc-scheme-A47K.xml,true
false,true,5,false,A47L,2018-08-01,published,A47L,DOMESTIC WASHING OR CLEANING ;SUCTION CLEANERS IN GENERAL ,cpc-scheme-A47L.xml,true
false,true,5,false,A61B,2021-08-01,published,A61B,DIAGNOSIS;SURGERY;IDENTIFICATION ,cpc-scheme-A61B.xml,true
false,true,5,false,A61C,2019-05-01,published,A61C,DENTISTRY;APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE ,cpc-scheme-A61C.xml,true
false,true,5,false,A61D,2018-08-01,published,A61D,"VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS",cpc-scheme-A61D.xml,true
false,true,5,false,A61F,2021-08-01,published,A61F,"FILTERS IMPLANTABLE INTO BLOOD VESSELS;PROSTHESES;DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS;ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES;FOMENTATION;TREATMENT OR PROTECTION OF EYES OR EARS;BANDAGES, DRESSINGS OR ABSORBENT PADS;FIRST-AID KITS ",cpc-scheme-A61F.xml,true
false,true,5,false,A61G,2019-02-01,published,A61G,"TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS ;OPERATING TABLES OR CHAIRS;CHAIRS FOR DENTISTRY;FUNERAL DEVICES ",cpc-scheme-A61G.xml,true
false,true,5,false,A61H,2018-08-01,published,A61H,"PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY;ARTIFICIAL RESPIRATION;MASSAGE;BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY ",cpc-scheme-A61H.xml,true
false,true,5,false,A61J,2018-08-01,published,A61J,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES;DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS;DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY;BABY COMFORTERS;DEVICES FOR RECEIVING SPITTLE,cpc-scheme-A61J.xml,true
false,true,5,false,A61K,2023-02-01,published,A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",cpc-scheme-A61K.xml,true
false,true,5,false,A61L,2023-02-01,published,A61L,"METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL;DISINFECTION, STERILISATION OR DEODORISATION OF AIR;CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLES;MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLES ",cpc-scheme-A61L.xml,true
false,true,5,false,A61M,2022-08-01,published,A61M,"DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ;DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ;DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR ",cpc-scheme-A61M.xml,true
false,true,5,false,A61N,2023-08-01,published,A61N,ELECTROTHERAPY;MAGNETOTHERAPY;RADIATION THERAPY;ULTRASOUND THERAPY ,cpc-scheme-A61N.xml,true
false,true,5,false,A61P,2018-01-01,published,A61P,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS,cpc-scheme-A61P.xml,true
false,true,5,false,A61Q,2023-02-01,published,A61Q,SPECIFIC USE OF COSMETICS OR SIMILAR TOILETRY PREPARATIONS,cpc-scheme-A61Q.xml,true
false,true,5,false,A62B,2018-08-01,published,A62B,"DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING ",cpc-scheme-A62B.xml,true
false,true,5,false,A62C,2018-08-01,published,A62C,FIRE-FIGHTING ,cpc-scheme-A62C.xml,true
false,true,5,false,A62D,2018-08-01,published,A62D,CHEMICAL MEANS FOR EXTINGUISHING FIRES OR FOR COMBATING OR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS;CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS,cpc-scheme-A62D.xml,true
false,true,5,false,A63B,2022-08-01,published,A63B,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING;BALL GAMES;TRAINING EQUIPMENT ",cpc-scheme-A63B.xml,true
false,true,5,false,A63C,2020-08-01,published,A63C,"SKATES;SKIS;ROLLER SKATES;DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",cpc-scheme-A63C.xml,true
false,true,5,false,A63D,2020-05-01,published,A63D,"BOWLING GAMES, e.g. SKITTLES, BOCCE OR BOWLS;INSTALLATIONS THEREFOR;BAGATELLE OR SIMILAR GAMES;BILLIARDS ",cpc-scheme-A63D.xml,true
false,true,5,false,A63F,2018-08-01,published,A63F,"CARD, BOARD, OR ROULETTE GAMES;INDOOR GAMES USING SMALL MOVING PLAYING BODIES;VIDEO GAMES;GAMES NOT OTHERWISE PROVIDED FOR",cpc-scheme-A63F.xml,true
false,true,5,false,A63G,2018-08-01,published,A63G,MERRY-GO-ROUNDS;SWINGS;ROCKING-HORSES;CHUTES;SWITCHBACKS;SIMILAR DEVICES FOR PUBLIC AMUSEMENT,cpc-scheme-A63G.xml,true
false,true,5,false,A63H,2020-02-01,published,A63H,"TOYS, e.g. TOPS, DOLLS, HOOPS OR BUILDING BLOCKS",cpc-scheme-A63H.xml,true
false,true,5,false,A63J,2020-05-01,published,A63J,"DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE;CONJURING APPLIANCES OR THE LIKE",cpc-scheme-A63J.xml,true
false,true,5,false,A63K,2018-08-01,published,A63K,RACING;RIDING SPORTS;EQUIPMENT OR ACCESSORIES THEREFOR ,cpc-scheme-A63K.xml,true
false,true,5,false,A99Z,2019-05-01,published,A99Z,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION,cpc-scheme-A99Z.xml,false
false,true,5,false,B01B,2020-01-01,published,B01B,BOILING;BOILING APPARATUS ,cpc-scheme-B01B.xml,true
false,true,5,false,B01D,2022-08-01,published,B01D,SEPARATION ,cpc-scheme-B01D.xml,true
false,true,5,false,B01F,2022-01-01,published,B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING ",cpc-scheme-B01F.xml,true
false,true,5,false,B01J,2020-05-01,published,B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY;THEIR RELEVANT APPARATUS",cpc-scheme-B01J.xml,true
false,true,5,false,B01L,2023-02-01,published,B01L,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE,cpc-scheme-B01L.xml,true
false,true,5,false,B02B,2018-08-01,published,B02B,PREPARING GRAIN FOR MILLING;REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE ,cpc-scheme-B02B.xml,true
false,true,5,false,B02C,2018-08-01,published,B02C,"CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL;MILLING GRAIN ",cpc-scheme-B02C.xml,true
false,true,5,false,B03B,2023-02-01,published,B03B,SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS,cpc-scheme-B03B.xml,true
false,true,5,false,B03C,2024-08-01,published,B03C,MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS;SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS ,cpc-scheme-B03C.xml,true
false,true,5,false,B03D,2020-05-01,published,B03D,FLOTATION;DIFFERENTIAL SEDIMENTATION ,cpc-scheme-B03D.xml,true
false,true,5,false,B04B,2018-08-01,published,B04B,CENTRIFUGES ,cpc-scheme-B04B.xml,true
false,true,5,false,B04C,2018-08-01,published,B04C,"APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES ",cpc-scheme-B04C.xml,true
false,true,5,false,B05B,2023-01-01,published,B05B,SPRAYING APPARATUS;ATOMISING APPARATUS;NOZZLES ,cpc-scheme-B05B.xml,true
false,true,5,false,B05C,2021-01-01,published,B05C,"APPARATUS FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL ",cpc-scheme-B05C.xml,true
false,true,5,false,B05D,2021-01-01,published,B05D,"PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL ",cpc-scheme-B05D.xml,true
