patent_id	citation_sequence	citation_patent_id	citation_date	record_name	wipo_kind	citation_category
10000781	6	5945312	1999-08-01	Goodman et al.	A	cited by applicant
10000781	10	6033881	2000-03-01	Himmler et al.	A	cited by applicant
10000781	14	6440706	2002-08-01	Vogelstein et al.	B1	cited by applicant
10000781	16	6929915	2005-08-01	Benkovic et al.	B2	cited by applicant
10000781	17	7723031	2010-05-01	Benkovic et al.	B2	cited by applicant
10000781	19	7824889	2010-11-01	Vogelstein et al.	B2	cited by applicant
10000781	20	7906279	2011-03-01	Benkovic et al.	B2	cited by applicant
10000781	21	7915015	2011-03-01	Vogelstein et al.	B2	cited by applicant
10000781	22	7985565	2011-07-01	Mayer et al.	B2	cited by applicant
10000781	23	8124342	2012-02-01	Benkovic et al.	B2	cited by applicant
10000781	24	8129116	2012-03-01	Benkovic et al.	B2	cited by applicant
10000781	25	8137913	2012-03-01	Benkovic et al.	B2	cited by applicant
10000781	26	8143008	2012-03-01	Kawashima et al.	B2	cited by applicant
10000781	27	8241851	2012-08-01	Benkovic et al.	B2	cited by applicant
10000781	28	8361718	2013-01-01	Benkovic et al.	B2	cited by applicant
10000781	29	8389216	2013-03-01	Benkovic et al.	B2	cited by applicant
10000781	30	8652810	2014-02-01	Adessi et al.	B2	cited by applicant
10000781	31	8673561	2014-03-01	Benkovic et al.	B2	cited by applicant
10000781	32	8759000	2014-06-01	Benkovic et al.	B2	cited by applicant
10000781	33	8765374	2014-07-01	Benkovic et al.	B2	cited by applicant
10006036	21	8124411	2012-02-01	Akula et al.	B2	cited by applicant
10006036	22	8395020	2013-03-01	Rout et al.	B2	cited by applicant
10006036	23	8513016	2013-08-01	Rout et al.	B2	cited by applicant
10006036	24	8581035	2013-11-01	Rout	B2	cited by applicant
10006036	26	8847009	2014-09-01	Rout	B2	cited by applicant
10006036	27	8853488	2014-10-01	Rout et al.	B2	cited by applicant
10006086	3	5861251	1999-01-01	Park et al.	A	cited by applicant
10006086	6	8663925	2014-03-01	Kurkela et al.	B2	cited by applicant
10006086	7	9416417	2016-08-01	Kurkela et al.	B2	cited by applicant
10006086	8	9422604	2016-08-01	Tuunanen et al.	B2	cited by applicant
10006861	6	4683202	1987-07-01	Mullis	A	cited by applicant
10006861	8	4902624	1990-02-01	Columbus et al.	A	cited by applicant
10006861	29	5656493	1997-08-01	Mullis	A	cited by applicant
10006861	31	5681741	1997-10-01	Atwood et al.	A	cited by applicant
10006861	38	5928880	1999-07-01	Wilding	A	cited by applicant
10006861	39	5928907	1999-07-01	Woudenberg et al.	A	cited by applicant
10006861	42	5972716	1999-10-01	Ragusa et al.	A	cited by applicant
10006861	48	6174670	2001-01-01	Wittwer	B1	cited by applicant
10006861	51	6303343	2001-10-01	Kopf-Sill	B1	cited by applicant
10006861	68	6814934	2004-11-01	Higuchi	B1	cited by applicant
10010888	5	5750338	1998-05-01	Collins et al.	A	cited by applicant
10010888	32	7323140	2008-01-01	Handique et al.	B2	cited by applicant
10010888	59	7998708	2011-08-01	Handique et al.	B2	cited by applicant
10010888	81	8273308	2012-09-01	Handique et al.	B2	cited by applicant
10010888	86	8323900	2012-12-01	Handique et al.	B2	cited by applicant
10010888	97	8470586	2013-06-01	Wu et al.	B2	cited by applicant
10010888	108	8709787	2014-04-01	Handique	B2	cited by applicant
10010888	111	8852862	2014-10-01	Wu et al.	B2	cited by applicant
10010888	113	9050594	2015-06-01	Williams et al.	B2	cited by applicant
10010888	114	9101930	2015-08-01	Williams et al.	B2	cited by applicant
10010888	117	9339812	2016-05-01	Williams et al.	B2	cited by applicant
10011868	0	9175340	2015-11-01	Liu et al.	B2	cited by applicant
10011869	0	8318434	2012-11-01	Cuppens	B2	cited by applicant
10017803	6	5945312	1999-08-01	Goodman et al.	A	cited by applicant
10017803	10	6033881	2000-03-01	Himmler et al.	A	cited by applicant
10017803	14	6440706	2002-08-01	Vogelstein et al.	B1	cited by applicant
10017803	16	6929915	2005-08-01	Benkovic et al.	B2	cited by applicant
10017803	17	7723031	2010-05-01	Benkovic et al.	B2	cited by applicant
10017803	19	7824889	2010-11-01	Vogelstein et al.	B2	cited by applicant
10017803	20	7906279	2011-03-01	Benkovic et al.	B2	cited by applicant
10017803	21	7915015	2011-03-01	Vogelstein et al.	B2	cited by applicant
10017803	22	7985565	2011-07-01	Mayer et al.	B2	cited by applicant
10017803	23	8124342	2012-02-01	Benkovic et al.	B2	cited by applicant
10017803	24	8129116	2012-03-01	Benkovic et al.	B2	cited by applicant
10017803	25	8137913	2012-03-01	Benkovic et al.	B2	cited by applicant
10017803	26	8143008	2012-03-01	Kawashima et al.	B2	cited by applicant
10017803	27	8241851	2012-08-01	Benkovic et al.	B2	cited by applicant
10017803	28	8361718	2013-01-01	Benkovic et al.	B2	cited by applicant
10017803	29	8389216	2013-03-01	Benkovic et al.	B2	cited by applicant
10017803	30	8652810	2014-02-01	Adessi et al.	B2	cited by applicant
10017803	31	8673561	2014-03-01	Benkovic et al.	B2	cited by applicant
10017803	32	8759000	2014-06-01	Benkovic et al.	B2	cited by applicant
10017803	33	8765374	2014-07-01	Benkovic et al.	B2	cited by applicant
10017811	0	5582989	1996-12-01	Caskey et al.	A	cited by applicant
10017811	2	5882856	1999-03-01	Shuber et al.	A	cited by applicant
10017811	3	6207372	2001-03-01	Shuber	B1	cited by applicant
10017811	6	7118867	2006-10-01	Tabiti et al.	B2	cited by applicant
10017811	10	8323897	2012-12-01	Andersen et al.	B2	cited by applicant
10017812	7	6001611	1999-12-01	Will	A	cited by applicant
10017812	10	6143496	2000-11-01	Brown et al.	A	cited by applicant
10017812	15	6440706	2002-08-01	Vogelstein et al.	B1	cited by applicant
10017812	28	7414118	2008-08-01	Mullah et al.	B1	cited by applicant
10017812	51	8825412	2014-09-01	Rabinowitz et al.	B2	cited by applicant
10018626	59	9347938	2016-05-01	Siciliano et al.	B2	cited by applicant
10023921	6	7288643	2007-10-01	Barbour et al.	B2	cited by applicant
10023921	7	7417132	2008-08-01	Barbour et al.	B2	cited by applicant
10023921	8	7435807	2008-10-01	Barbour et al.	B1	cited by applicant
10023921	9	7449564	2008-11-01	Barbour et al.	B2	cited by applicant
10023921	10	7514544	2009-04-01	Barbour et al.	B2	cited by applicant
10023921	11	7989607	2011-08-01	Barbour et al.	B2	cited by applicant
10030045	0	4683195	1987-07-01	Mullis et al.	A	cited by applicant
10030045	1	4683202	1987-07-01	Mullis	A	cited by applicant
10030045	3	6277605	2001-08-01	Wijnhoven et al.	B1	cited by applicant
10030045	9	8034568	2011-10-01	Kum et al.	B2	cited by applicant
10030263	0	8048626	2011-11-01	Hassibi et al.	B2	cited by applicant
10036059	0	6033851	2000-03-01	Akio	A	cited by applicant
10036059	5	9284602	2016-03-01	Zhang et al.	B2	cited by applicant
10036060	3	4683194	1987-07-01	Saiki et al.	A	cited by applicant
10036060	4	4683195	1987-07-01	Mullis et al.	A	cited by applicant
10036060	19	5554516	1996-09-01	Kacian et al.	A	cited by applicant
10036060	21	5654142	1997-08-01	Kievits et al.	A	cited by applicant
10036060	33	6794141	2004-09-01	Erlander et al.	B2	cited by applicant
10036062	0	4683195	1987-07-01	Mullis et al.	A	cited by applicant
10036062	1	4683202	1987-07-01	Mullis	A	cited by applicant
10036062	4	6485903	2002-11-01	Mayrand	B1	cited by applicant
10036062	5	6569627	2003-05-01	Wittwer et al.	B2	cited by applicant
10036062	6	7205105	2007-04-01	Afonina et al.	B2	cited by applicant
10040071	40	5585242	1996-12-01	Bouma et al.	A	cited by applicant
10040071	46	5656493	1997-08-01	Mullis et al.	A	cited by applicant
10040071	58	5827480	1998-10-01	Haff et al.	A	cited by applicant
10040071	68	6015674	2000-01-01	Woudenber et al.	A	cited by applicant
10040071	109	6814934	2004-11-01	Higuchi	B1	cited by applicant
10040071	121	7008789	2006-03-01	Gambini et al.	B2	cited by applicant
10040071	125	7148043	2006-12-01	Kordunsky et al.	B2	cited by applicant
10040071	157	8133703	2012-03-01	Ching et al.	B2	cited by applicant
10040071	159	8372340	2013-02-01	Bird et al.	B2	cited by applicant
10041062	5	5750338	1998-05-01	Collins et al.	A	cited by applicant
10041062	29	7323140	2008-01-01	Handique et al.	B2	cited by applicant
10041062	47	7998708	2011-08-01	Handique et al.	B2	cited by applicant
10041062	67	8273308	2012-09-01	Handique et al.	B2	cited by applicant
10041062	71	8323900	2012-12-01	Handique et al.	B2	cited by applicant
10041062	80	8470586	2013-06-01	Wu et al.	B2	cited by applicant
10041062	88	8709787	2014-04-01	Handique	B2	cited by applicant
10041062	89	9101930	2015-08-01	Williams et al.	B2	cited by applicant
10041117	6	4683194	1987-07-01	Saiki et al.	A	cited by applicant
10041117	7	4683202	1987-07-01	Mullis	A	cited by applicant
10041117	11	5079352	1992-01-01	Gelfand et al.	A	cited by applicant
10041117	16	5200314	1993-04-01	Urdea	A	cited by applicant
10041117	25	5436149	1995-07-01	Barnes	A	cited by applicant
10041117	30	5487972	1996-01-01	Gelfand et al.	A	cited by applicant
10041117	33	5512462	1996-04-01	Cheng	A	cited by applicant
10041117	36	5565322	1996-10-01	Heller	A	cited by applicant
10041117	38	5578467	1996-11-01	Schuster et al.	A	cited by applicant
10041117	41	5593840	1997-01-01	Bhatnagar et al.	A	cited by applicant
10041117	44	5595890	1997-01-01	Newton et al.	A	cited by applicant
10041117	47	5614365	1997-03-01	Tabor et al.	A	cited by applicant
10041117	49	5646019	1997-07-01	Nielson et al.	A	cited by applicant
10041117	55	5773257	1998-06-01	Nielson et al.	A	cited by applicant
10041117	59	5866336	1999-02-01	Nazarenko et al.	A	cited by applicant
10041117	60	5869251	1999-02-01	Schuster et al.	A	cited by applicant
10041117	63	5912148	1999-06-01	Eggerding	A	cited by applicant
10041117	69	6015668	2000-01-01	Hughes et al.	A	cited by applicant
10041117	72	6090552	2000-07-01	Nazarenko et al.	A	cited by applicant
10041117	73	6117635	2000-09-01	Nazarenko et al.	A	cited by applicant
10041117	75	6130038	2000-10-01	Becker	A	cited by examiner
10041117	77	6174670	2001-01-01	Wittwer et al.	B1	cited by applicant
10047394	4	5200314	1993-04-01	Urdea	A	cited by applicant
10047394	56	6440706	2002-08-01	Vogelstein et al.	B1	cited by applicant
10047394	71	6753147	2004-06-01	Vogelstein et al.	B2	cited by applicant
10047394	73	6849404	2005-02-01	Park et al.	B2	cited by applicant
10047394	75	6858412	2005-02-01	Willis et al.	B2	cited by applicant
10047394	85	7824889	2010-11-01	Vogelstein et al.	B2	cited by applicant
10047394	86	7915015	2011-03-01	Vogelstein et al.	B2	cited by applicant
10047394	87	7985546	2011-07-01	Church et al.	B2	cited by applicant
