name,invention,url_name,patent,induction_year,birth_date,death_date,meta1,meta2,meta3,meta4
James Abercrombie,Blowout Preventer (BOP),james-abercrombie,"['1,569,247']",2022,"July 7, 1891","Jan. 7, 1975","U.S. Patent No. 1,569,247",Inducted in 2022,"BornJuly 7, 1891 - DiedJan. 7, 1975",
Edward Goodrich Acheson,Carborundum,edward-goodrich-acheson,"['492,767', '615,648']",1997,"March 9, 1856","July 6, 1931","U.S. Patent Nos. 492,767; 615,648",Inducted in 1997,"BornMarch 9, 1856 - DiedJuly 6, 1931",
Stewart Adams,Ibuprofen,stewart-adams,"['3,228,831']",2022,"April 16, 1923","Jan. 30, 2019","U.S. Patent No. 3,228,831",Inducted in 2022,"BornApril 16, 1923 - DiedJan. 30, 2019",
Leonard Adleman,RSA Cryptography,leonard-adleman,"['4,405,829']",2018,"Dec. 31, 1945",,"U.S. Patent No. 4,405,829",Inducted in 2018,"BornDec. 31, 1945",
Robert Adler,Television Remote Control,robert-adler,"['2,817,025']",2008,"Dec. 4, 1913","Feb. 15, 2007","U.S. Patent No. 2,817,025",Inducted in 2008,"BornDec. 4, 1913 - DiedFeb. 15, 2007",Military Service: U.S. Army
Herman A. Affel,Coaxial Cable,herman-affel,"['1,835,031']",2006,"Aug. 4, 1893","Oct. 13, 1972","U.S. Patent No. 1,835,031",Inducted in 2006,"BornAug. 4, 1893 - DiedOct. 13, 1972",
Howard Aiken,Automatic Sequence Controlled Calculator (Mark I),howard-aiken,"['2,616,626']",2014,"March 8, 1900","March 14, 1973","U.S. Patent No. 2,616,626",Inducted in 2014,"BornMarch 8, 1900 - DiedMarch 14, 1973",Military Service: U.S. Navy
Jonathan D. Albert,Electronic Ink,jonathan-d-albert,"['5,961,804']",2016,"April 18, 1975",,"U.S. Patent No. 5,961,804",Inducted in 2016,"BornApril 18, 1975",
George Edward Alcorn,X-Ray Spectrometer,george-edward-alcorn,"['4,472,728']",2015,"March 22, 1940",,"U.S. Patent No. 4,472,728",Inducted in 2015,"BornMarch 22, 1940",
Samuel Alderson,Crash Test Dummy,samuel-alderson,"['3,010,223']",2013,"Oct. 21, 1914","Feb. 11, 2005","U.S. Patent No. 3,010,223",Inducted in 2013,"BornOct. 21, 1914 - DiedFeb. 11, 2005",
Ernst F. W. Alexanderson,High-Frequency Alternator,ernst-f-w-alexanderson,"['1,008,577']",1983,"Jan. 25, 1878","May 14, 1975","U.S. Patent No. 1,008,577",Inducted in 1983,"BornJan. 25, 1878 - DiedMay 14, 1975",
Andrew Alford,Localizer Antenna System,andrew-alford,"['2,682,050']",1983,"Aug. 5, 1904","Jan. 25, 1992","U.S. Patent No. 2,682,050",Inducted in 1983,"BornAug. 5, 1904 - DiedJan. 25, 1992",
James Allison,Immune Checkpoint Blockade Therapy,james-allison,"['5,811,097']",2024,"Aug. 7, 1948",,"U.S. Patent No. 5,811,097",Inducted in 2024,"BornAug. 7, 1948",
Samuel Leeds Allen,Flexible Flyer Sled,samuel-leeds-allen,"['408,681']",2007,"May 5, 1841","March 28, 1918","U.S. Patent No. 408,681",Inducted in 2007,"BornMay 5, 1841 - DiedMarch 28, 1918",
Luis Walter Alvarez,Radio Distance and Direction Indicator,luis-walter-alvarez,"['2,480,208']",1978,"June 13, 1911","Sept. 1, 1988","U.S. Patent No. 2,480,208",Inducted in 1978,"BornJune 13, 1911 - DiedSept. 1, 1988",
Iver Anderson,Lead-Free Solder,iver-anderson,"['5,527,628']",2017,"Oct. 7, 1953",,"U.S. Patent No. 5,527,628",Inducted in 2017,"BornOct. 7, 1953",
