name,invention,url_name,patent,induction_year,birth_date,death_date
James Abercrombie,Blowout Preventer (BOP),james-abercrombie,"['1,569,247']",2022,"July 7, 1891","Jan. 7, 1975"
Edward Goodrich Acheson,Carborundum,edward-goodrich-acheson,"['492,767', '615,648']",1997,"March 9, 1856",6-Jul-1931
Stewart Adams,Ibuprofen,stewart-adams,"['3,228,831']",2022,16-Apr-2023,"Jan. 30, 2019"
Leonard Adleman,RSA Cryptography,leonard-adleman,"['4,405,829']",2018,"Dec. 31, 1945",
Robert Adler,Television Remote Control,robert-adler,"['2,817,025']",2008,"Dec. 4, 1913","Feb. 15, 2007"
Herman A. Affel,Coaxial Cable,herman-affel,"['1,835,031']",2006,"Aug. 4, 1893","Oct. 13, 1972"
Howard Aiken,Automatic Sequence Controlled Calculator (Mark I),howard-aiken,"['2,616,626']",2014,8-Mar-2000,14-Mar-1973
Jonathan D. Albert,Electronic Ink,jonathan-d-albert,"['5,961,804']",2016,18-Apr-1975,
George Edward Alcorn,X-Ray Spectrometer,george-edward-alcorn,"['4,472,728']",2015,22-Mar-1940,
Samuel Alderson,Crash Test Dummy,samuel-alderson,"['3,010,223']",2013,"Oct. 21, 1914","Feb. 11, 2005"
Ernst F. W. Alexanderson,High-Frequency Alternator,ernst-f-w-alexanderson,"['1,008,577']",1983,"Jan. 25, 1878",14-May-1975
Andrew Alford,Localizer Antenna System,andrew-alford,"['2,682,050']",1983,"Aug. 5, 1904","Jan. 25, 1992"
James Allison,Immune Checkpoint Blockade Therapy,james-allison,"['5,811,097']",2024,"Aug. 7, 1948",
Samuel Leeds Allen,Flexible Flyer Sled,samuel-leeds-allen,"['408,681']",2007,"May 5, 1841",28-Mar-2018
Luis Walter Alvarez,Radio Distance and Direction Indicator,luis-walter-alvarez,"['2,480,208']",1978,13-Jun-2011,"Sept. 1, 1988"
Iver Anderson,Lead-Free Solder,iver-anderson,"['5,527,628']",2017,"Oct. 7, 1953",
Mary Anderson,Windshield Wiper,mary-anderson,"['743,801']",2011,"Feb. 19, 1866",27-Jun-1953
R. Rox Anderson,Laser Dermatology,rox-anderson,"['5,595,568']",2022,"Oct. 30, 1950",
J. Roger P. Angel,Lightweight Mirrors for Astronomical Telescopes,j-roger-p-angel,"['4,606,960']",2016,"Feb. 7, 1941",
George Antheil,Frequency Hopping Communication System,george-antheil,"['2,292,387']",2014,8-Jul-2000,"Feb. 12, 1959"
Thomas J. Armat,Vitascope,thomas-j-armat,"['580,749']",2011,"Oct. 25, 1866","Sept. 30, 1948"
Edwin Howard Armstrong,FM Radio,edwin-howard-armstrong,"['1,342,885']",1980,"Dec. 18, 1890","Feb. 1, 1954"
Don Arney,Bambi Bucket® for Aerial Firefighting,don-arney,"['4,474,245']",2017,27-May-1947,
Frances Arnold,Directed Evolution of Enzymes,frances-arnold,"['6,153,410']",2014,25-Jul-1956,
Chieko Asakawa,Home Page Reader,chieko-asakawa,"['7,197,462']",2019,"Nov. 21, 1958",
