patent_id,patent_type,patent_date,patent_title,patent_abstract,wipo_kind,num_claims,withdrawn,filename
10266850,utility,2019-04-23,Methods and compositions for RNA-directed target DNA modification and for RNA-directed modulation of transcription,"The present disclosure provides a DNA-targeting RNA that comprises a targeting sequence and, together with a modifying polypeptide, provides for site-specific modification of a target DNA and/or a polypeptide associated with the target DNA. The present disclosure further provides site-specific modifying polypeptides. The present disclosure further provides methods of site-specific modification of a target DNA and/or a polypeptide associated with the target DNA The present disclosure provides methods of modulating transcription of a target nucleic acid in a target cell, generally involving contacting the target nucleic acid with an enzymatically inactive Cas9 polypeptide and a DNA-targeting RNA. Kits and compositions for carrying out the methods are also provided. The present disclosure provides genetically modified cells that produce Cas9; and Cas9 transgenic non-human multicellular organisms.",B2,71.0,0.0,ipg190423.xml
3939151,utility,1976-02-17,Displacement of the thiazolidine ring in penicillin with the formation of a biologically active cephem system," This invention relates to a new, biologically active material conforming to the formula ##SPC1## The material is formed by a process comprising displacement of the thiazolidine ring in Pencillin V and formation of the cephem system. ",A,1.0,0.0,pftaps19760217_wk07.zip
3950333,utility,1976-04-13,Pharmacologically active guanidine compounds," The compounds are substituted thioalkyl-, aminoalkyl- and oxyalkyl-guanidines which are inhibitors of histamine activity. ",A,22.0,0.0,pftaps19760413_wk15.zip
3952971,utility,1976-04-27,Airfoil shape for flight at subsonic speeds, An airfoil having an upper surface shaped to control flow accelerations and pressure distribution over the upper surface and to prevent separation of the boundary layer due to shock wave formulation at high subsonic speeds well above the critical Mach number. A highly cambered trailing edge section improves overall airfoil lifting efficiency. ,A,20.0,0.0,pftaps19760427_wk17.zip
3953566,utility,1976-04-27,Process for producing porous products," This invention provides a tetrafluoroethylene polymer in a porous form which has an amorphous content exceeding about 5% and which has a micro-structure characterized by nodes interconnected by fibrils. The material has high porosity and high strength. It can be used to produce all kinds of shaped articles such as films, tubes, rods, and continuous filaments. Laminations can be employed and impregnation and bonding can readily be used to produce a large variety of articles. Compressed articles of very high strength can also be produced from these porous forms. ",A,24.0,0.0,pftaps19760427_wk17.zip
3959774,utility,1976-05-25,Processor which sequences externally of a central processor," An arrangement for organizing a computer is provided wherein all instructions in programs required for data processing, including memory addresses, are generated and processed outside of the central processor unit by using programmable logic arrays. Programmable logic arrays are also used for program supervision and for controlling peripheral hardware. Thus, the central processor unit is left to perform solely data processing and need not do any non-data processing functions. ",A,14.0,0.0,pftaps19760525_wk21.zip
3965357,utility,1976-06-22,Apparatus for examining a body by means of penetrating radiation," The invention relates to apparatus for examining a body by means of penetrating radiation in which a source of radiation produces a beam of radiation which passes through the body, and a detector receives the radiation emerging from the body. The source and the detector are mounted on a scanning structure which can undergo successive lateral scans at a succession of orbital positions so that a plane section of the body is traversed by a set of parallel beams at each of the orbital positions. A reference attenuator provides a known attenuation of the beam at the beginning of each lateral scan, and means are provided for modifying the output signals during each lateral scan in response to the signal obtained when the beam is passing through the reference attenuator. In this way compensation is effected for rapid changes in the sensitivity of the detector. ",A,9.0,0.0,pftaps19760622_wk25.zip
3970359,utility,1976-07-20,Flying spot flat field scanner, A flying spot flat field scanning system is provided wherein a laser beam is directed to a polygon scanner which sweeps the beam via a pair of relatively movable mirrors across a document to provide a scan in an x direction. The mirrors move relative to one another across the document to provide a scan in a y direction and move at such a relative rate to maintain optical conjugates constant. ,A,1.0,0.0,pftaps19760720_wk29.zip
3983140,utility,1976-09-28,Physiologically active substances," Physiologically active substances ML-236 of the formula ##SPC1## Wherein R is hydrogen atom, hydroxy group or 2-methylbutyryloxy group having cholesterol- and lipid-lowering effects in blood and liver and thus utility as hypocholesteremic and hypolipemic medicaments. They are obtained by cultivation of an ML-236-producing microorganism belonging to the genus Penicillium in a culture medium and subsequent recovery thereof from a cultured broth. ",A,4.0,0.0,pftaps19760928_wk39.zip
3986969,utility,1976-10-19,Thixotropic mixture and method of making same," A mixture for the storage of heat energy utilizing a heat of fusion material includes sodium sulfate decahydrate, borax as a nucleating agent, and hydrous magnesium aluminum silicate (attapulgus clay) as a homogenizing agent. This composition maintains the salt-hydrate in suspension during repeated heating and cooling cycles. A method is also disclosed for preparing the mixture which includes the steps of mixing water with the attapulgus clay, adding a nucleating agent to the initial mixture, and mixing the initial mixture, including the nucleating agent, with a heat of fusion material such as sodium sulfate decahydrate. ",A,17.0,0.0,pftaps19761019_wk42.zip
3994711,utility,1976-11-30,Glass tempering system including oscillating roller furnace, The glass tempering system includes an elongated furnace in which a horizontal conveyor oscillates a glass sheet between opposite ends of the chamber in a manner to shorten the necessary furnace length to heat the glass to its quench temperature. A load station at one end includes a horizontal conveyor driven by the same drive mechanism as the furnace conveyor during the index cycle so that a glass sheet is received while another glass sheet is being indexed to the quench unit. A second motor drives the quench unit conveyor in an oscillating manner. The two drive mechanisms are coupled during the index cycle so that a tempered glass sheet is conveyed from the quench unit to an unload station as a heated glass sheet is being conveyed to the quench unit. The conveyor of the unload station is driven by the quench unit drive during the index cycle to receive the tempered glass sheet. Each of the conveyors includes drive chains which frictionally drive their conveyor rollers. The conveyor rollers of the load and unload stations are lifted off their respective drive chains to stop the rollers for unloading of the glass thereon. ,A,33.0,0.0,pftaps19761130_wk48.zip
