patent_id,citation_patent_id,fwd_cit_bwd
10000555,4816397,0
10000555,4816567,0
10000555,5225539,0
10000557,4683195,0
10000557,4683202,0
10000559,4816567,0
10000559,5225539,0
10000567,4458066,0
10000567,4816567,0
10000571,4683195,0
10000571,4816567,0
10000572,4816567,0
10000575,5225539,0
10000717,4827064,0
10000717,4827073,0
10000721,4827064,0
10000721,4827073,0
10000745,4683195,0
10000745,4683202,0
10000745,4965188,1
10000752,4683195,0
10000752,4683202,0
10000754,5413908,0
10000799,4683195,0
10000799,4683202,0
10000805,6787308,0
10000819,4683195,0
10000819,4683202,0
10001514,4200770,0
10001612,4676586,0
10001642,5061049,0
10001771,4575330,0
10002201,6285999,0
10002386,5960411,0
10002575,5961804,0
10003004,7465871,0
10003059,4575330,0
10003693,7197462,0
10003701,4371752,0
10003755,5471515,0
10004096,7166791,0
10004313,1821525,0
10004388,5471515,0
10004395,5291560,0
10004513,4733665,1
10004531,3435826,0
10004578,4575330,0
10004584,4733665,0
10004601,4733665,1
10004618,4733665,1
10004636,4164560,1
10004669,6730156,1
10004704,3228831,0
10004733,4683202,0
10004745,4683202,0
10004746,4683202,0
10004799,4683195,0
10004799,4683202,0
10004808,4816397,0
10004808,4816567,0
10004808,5225539,0
10004822,2182732,0
10004828,4816567,0
10004948,5961804,1
10005072,3140249,0
10005126,5960411,0
10005258,3953566,0
10005394,5471515,0
10005759,4105776,0
10005841,4816567,0
10005842,4816567,0
10005843,4816567,0
10005847,4816567,0
10005847,5061620,0
10005853,2356128,0
10005861,2825721,0
10005908,5171534,0
10005917,3574791,0
10006007,8278036,0
10006027,4415732,0
10006028,4683202,0
10006062,4458066,0
10006092,4683195,0
10006092,4683202,0
10006092,4965188,1
10006408,2816721,0
10006861,4683202,0
10006862,4683195,0
10006862,4683202,0
10007923,5960411,1
10008017,5046022,0
10008147,6124851,0
10008502,4870302,1
10008579,5998833,1
10009063,2519603,0
10009065,2519603,0
10009067,2519603,0
10009085,5345599,1
10009178,4641349,0
10009178,5291560,1
10009271,6108703,0
10009310,6285999,0
10009901,2519603,0
10009956,5103459,0
10010388,4676586,0
10010410,4733665,0
10010417,4733665,0
10010488,6730156,1
10010611,4816567,0
10010624,4816567,0
10010704,5077210,0
10010709,4757128,0
10010751,5961804,1
10010790,5184830,0
10010852,2656508,0
10011071,2297691,0
10011642,4816567,0
10011656,4816567,0
10011656,5225539,0
10011656,5770429,1
10011657,4634665,0
10011657,4816397,0
10011657,4816567,0
10011657,5179017,1
10011657,5225539,0
10011657,5939598,1
10011658,4816567,0
