patent_id,citation_patent_id,fwd_cit_bwd
10000555,4816397,0
10000555,4816567,0
10000557,4683195,0
10000559,4816567,0
10000567,4816567,0
10000571,4683195,0
10000571,4816567,0
10000572,4816567,0
10000717,4827064,0
10000717,4827073,0
10000721,4827064,0
10000721,4827073,0
10000745,4683195,0
10000745,4965188,1
10000752,4683195,0
10000754,5413908,0
10000799,4683195,0
10000805,6787308,0
10000819,4683195,0
10001612,4676586,0
10001642,5061049,0
10001771,4575330,0
10002201,6285999,0
10002386,5960411,0
10002575,5961804,0
10003004,7465871,0
10003059,4575330,0
10003693,7197462,0
10003701,4371752,0
10003755,5471515,0
10004096,7166791,0
10004388,5471515,0
10004395,5291560,0
10004513,4733665,1
10004578,4575330,0
10004584,4733665,0
10004601,4733665,1
10004618,4733665,1
10004636,4164560,1
10004669,6730156,1
10004799,4683195,0
10004808,4816397,0
10004808,4816567,0
10004828,4816567,0
10004948,5961804,1
10005126,5960411,0
10005258,3953566,0
10005394,5471515,0
10005759,4105776,0
10005841,4816567,0
10005842,4816567,0
10005843,4816567,0
10005847,4816567,0
10005847,5061620,0
10005908,5171534,0
10006027,4415732,0
10006092,4683195,0
10006092,4965188,1
10006862,4683195,0
10007923,5960411,1
10008017,5046022,0
10008147,6124851,0
10008502,4870302,1
10008579,5998833,1
10009085,5345599,1
10009178,4641349,0
10009178,5291560,1
10009271,6108703,0
10009310,6285999,0
10009956,5103459,0
10010388,4676586,0
10010410,4733665,0
10010417,4733665,0
10010488,6730156,1
10010611,4816567,0
10010624,4816567,0
10010704,5077210,0
10010709,4757128,0
10010751,5961804,1
10010790,5184830,0
10011642,4816567,0
10011656,4816567,0
10011656,5770429,1
10011657,4816397,0
10011657,4816567,0
10011657,5179017,1
10011657,5939598,1
10011658,4816567,0
10011856,4816567,0
10012664,4683195,0
10012664,4816567,0
10012664,5171534,0
10013373,5297148,0
10013399,6108703,0
10013672,6285999,0
10015143,6108703,1
10015237,6108703,1
10015241,6108703,1
10015243,6108703,0
10015286,6108703,1
10015452,5471515,0
10015460,8264458,0
10015473,5184830,0
10015562,5960411,1
10016198,4733665,1
10016262,4575330,0
10016263,4676586,0
10016274,4733665,1
10016275,4733665,1
10016276,4733665,0
10016404,3983140,0
10016496,4683195,0
10016534,4418691,0
10016534,4733665,1
10016592,4784135,0
10016617,4816567,0
10016938,4575330,0
10017561,4816567,0
10017561,4965188,1
10017575,5770429,1
10017579,4816567,0
10017580,4816567,0
10017708,4827064,0
10017708,4827073,0
10017732,4816567,0
10017815,4683195,0
10017815,4965188,1
