Patent,Year,Inventor,Invention,kellyetal,halloffame
1647,1840, Samuel F. B. Morse, Morse Code,1,1
3237,1843, Nobert Rillieux, Sugar Refining,1,0
3316,1843, Samuel F. B. Morse, telegraphy wire,1,0
3633,1844, Charles Goodyear, Vulcanized Rubber,1,1
4453,1846, Samuel F. B. Morse, telegraph battery,1,0
4750,1846," Elias Howe, Jr.", Sewing Machine,1,1
4834,1846, Benjamin Franklin Palmer, Artificial Limb,1,0
4848,1846, Charles T. Jackson, Anesthesia,1,0
4874,1846, Christian Frederick Schonbein, Gun cotton,1,0
5199,1847, Richard M. Hoe, Rotary Printing Press,1,0
5711,1848, M. Waldo Hanchett, Dental Chair,1,0
5942,1848, John Bradshaw, Sewing Machine,1,0
6099,1849, Morey/Johnson, Sewing Machine,1,0
6281,1849, Walter Hunt, Safety Pin,1,1
6439,1849, John Bachelder, Sewing Machine,1,0
7296,1850, D.M. Smith, Sewing Machine,1,0
7509,1850, J. Hollen, Sewing Machine,1,0
7931,1851, Grover and Baker, Sewing Machine,1,0
8080,1851, John Gorrie, Ice Machine,1,0
8294,1851, Isaac Singer, Sewing Machine,1,0
9300,1852, Lorenzo L. Langstroth, Beehive,1,1
13661,1855, Isaac M. Singer, Shuttle Sewing Machine,1,0
15553,1856," Gail Borden, Jr.", Condensed Milk,1,1
17628,1857, William Kelly, Iron and Steel Manufacturing,1,0
18653,1857, H.N. Wadsworth, Toothbrush,1,0
23536,1859, Martha J. Coston, System of Pyrotechnic Night Signals,1,0
26196,1859, James J. Mapes, Artificial Fertilizer,1,0
31128,1861, Elisha Graves Otis, Elevator,1,1
31278,1861," Linus Yale, Jr.", Lock,1,1
31310,1861, Samuel Goodale, Moving Picture Peep Show Machine,1,0
36836,1862, Richard J. Gatling, Machine Gun,1,0
43465,1864, Sarah Mather, Submarine Telescope,1,0
46454,1865, John Deere, Plow,1,1
53561,1866,Milton Bradley,Board Game,1,1
59915,1866,Pierre Lallement,Bicycle,1,0
78317,1868,Alfred Nobel,Dynamite,1,1
79265,1868,C. Latham Sholes,Typewriter,1,1
79965,1868,Alvin J. Fellows,Spring Tape Measure,1,0
